what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077749456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077767424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324077768166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077769036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077771125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324077771741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077772789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077776185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324077777173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077778669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077781151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1324077781815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077782530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077789639
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324077793888
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1324077794637
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1324077796582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324077797793
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324077804584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077808906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077866731
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1324077873256
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1324077873721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077875665
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1324077880554
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1324077880654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077914163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1324077914178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077915233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077976927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324077983827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324078027014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078039269
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1324078039285
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1324078048055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078056721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078066182
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1324078066193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078066381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078071220
error,log,,,"Cannot connect to VM",1324078071459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078071545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078074391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078075820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078076793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078077721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078107409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078108166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078109631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078114434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324078119521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078135250
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1324078135303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078147629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078166453
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1324078166466
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324078168704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078173555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324078177150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324078179149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078181456
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1324078181468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078184605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078261356
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078264442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078272489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078277705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078281765
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1324078281781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078306849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078308105
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324078308318
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1324078308885
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1324078308887
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1324078308887
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1324078308888
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1324078308889
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1324078308889
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1324078308889
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1324078308890
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1324078308890
stopped,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1324078308890
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1324078308892
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1324078308893
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1324078308894
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1324078308894
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1324078308913
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1324078309009
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1324078329989
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1324078329991
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1324078329992
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1324078329993
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1324078329994
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1324078329995
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1324078329996
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1324078329997
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1324078329998
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1324078329999
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1324078330000
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1324078330001
