what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073544921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073544971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073657267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073658664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073663497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073668392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073674414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073676091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073676797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324073704815
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324073714033
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324073760318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324073789222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324073794632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324073807636
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1324073850118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073851605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324073868975
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074173259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074751752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074753248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074753283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074755286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074755308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074771492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074926130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074927624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074929537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324074939356
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074942379
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074944353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324074960460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324074962704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324074976206
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074983100
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1324074985596
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074986651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074986727
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324074991592
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324075008063
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324075079170
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324075086526
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324075217791
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324075259491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1324075539507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324075631497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324075632816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324075635725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324075635755
